date,Total Onchain Mcap,Securitize,Maple,Tether,Ondo,Circle,Paxos,Centrifuge,Spiko,Libeara,Franklin Templeton,WisdomTree,Superstate,Hastra,xStock,Re Protocol,Matrixdock,Fidelity,Theo,OnRe,OpenEden,Aktionariat,Unknown,Midas,Pleasing Golden,Stobox,Mt Pelerin,Republic,Reental,T-Rize Group,PreStocks,BlackOpal,Resolv,Backed Finance,Asseto,Mu Digital,ComTech Gold,AXC,Oro Finance,Denario,Remora Markets,VNX,Klima DAO,Toucan Nature,Maseer Finance,Xend Finance,Moss,Fortunafi,ST0x,Anchored Finance,Altai,Gold DAO,Aurus,CACHE.Gold,Dinari,GoldenAsset,Mineral Vault,Robinhood,Solid World,Sygnum,Trovio,RWA Perps OI
2021-09-04,407620714.0,,,,,,332696137.0,,,,,,,,,,,,,,,,,,,,52577555.0,,,,,,,,,,,,,,,,,,,,15059399.0,,,,,,1345628.0,4222534.0,,,,,,,1719461.0,
2021-09-05,396553571.0,,,,,,331519881.0,,,,,,,,,,,,,,,,,,,,43089293.0,,,,,,,,,,,,,,,,,,,,14664428.0,,,,,,1342822.0,4217686.0,,,,,,,1719461.0,
2021-09-06,410974675.0,,,,,,331337788.0,,,,,,,,,,,,,,,,,,,,57283579.0,,,,,,,,,,,,,,,,,,,,15089186.0,,,,,,1342024.0,4210753.0,,,,,,,1711345.0,
2021-09-07,411677262.0,,,,,,332330039.0,,,,,,,,,,,,,,,,,,,,57366586.0,,,,,,,,,,,,,,,,,,,,14709149.0,,,,,,1347132.0,4217413.0,,,,,,,1706943.0,
2021-09-08,390238128.0,,,,,,310582383.0,,,,,,,,,,,,,,,,,,,,58181157.0,,,,,,,,,,,,,,,,,,,,14319766.0,,,,,,1319518.0,4143398.0,,,,,,,1691906.0,
2021-09-09,384753947.0,,,,,,308017041.0,,,,,,,,,,,,,,,,,,,,55800793.0,,,,,,,,,,,,,,,,,,,,13798736.0,,,,,,1317604.0,4137000.0,,,,,,,1682773.0,
2021-09-10,387878859.5,,,,,,308960551.0,,,,,,,,,,,,,,,,,,,,57096585.0,,,,,,,,,,,,,,,,,,,,14688997.5,,,,,,1317716.5,4131782.0,,,,,,,1683227.5,
2021-09-11,391003772.0,,,,,,309904061.0,,,,,,,,,,,,,,,,,,,,58392377.0,,,,,,,,,,,,,,,,,,,,15579259.0,,,,,,1317829.0,4126564.0,,,,,,,1683682.0,
2021-09-12,379361811.0,,,,,,310766298.0,,,,,,,,,,,,,,,,,,,,45800128.0,,,,,,,,,,,,,,,,,,,,15652291.0,,,,,,1320924.0,4136773.0,,,,,,,1685397.0,
2021-09-13,378437611.0,,,,,,309754332.0,,,,,,,,,,,,,,,,,,,,45800128.0,,,,,,,,,,,,,,,,,,,,15747479.0,,,,,,1317752.0,4135895.0,,,,,,,1682025.0,
2021-09-14,388118787.0,,,,,,311079181.0,,,,,,,,,,,,,,,,,,,,54360834.0,,,,,,,,,,,,,,,,,,,,15531887.0,,,,,,1320747.0,4144892.0,,,,,,,1681246.0,
2021-09-15,384621350.5,,,,,,311627379.0,,,,,,,,,,,,,,,,,,,,48336243.5,,,,,,,,,,,,,,,,,,,,17500939.0,,,,,,1320445.5,4155785.5,,,,,,,1680558.0,
2021-09-16,381123914.0,,,,,,312175577.0,,,,,,,,,,,,,,,,,,,,42311653.0,,,,,,,,,,,,,,,,,,,,19469991.0,,,,,,1320144.0,4166679.0,,,,,,,1679870.0,
2021-09-17,393849548.0,,,,,,306312796.0,,,,,,,,,,,,,,,,,,,,50714917.0,,,,,,,,,,,,,,,,,,,,29831446.0,,,,,,1291705.0,4062054.0,,,,,,,1636630.0,
2021-09-18,396200122.0,,,,,,313475222.0,,,,,,,,,,,,,,,,,,,,47069806.0,,,,,,,,,,,,,,,,,,,,28512307.0,,,,,,1290523.0,4222448.0,,,,,,,1629816.0,
2021-09-19,397865042.0,,,,,,313928102.0,,,,,,,,,,,,,,,,,,,,47058188.0,,,,,,,,,,,,,,,,,,,,29679325.0,,,,,,1291623.0,4263147.0,,,,,,,1644657.0,
2021-09-20,395990513.5,,,,,,313600145.0,,,,,,,,,,,,,,,,,,,,46058438.0,,,,,,,,,,,,,,,,,,,,29106927.5,,,,,,1293225.0,4277313.5,,,,,,,1654464.5,
2021-09-21,394115985.0,,,,,,313272188.0,,,,,,,,,,,,,,,,,,,,45058688.0,,,,,,,,,,,,,,,,,,,,28534530.0,,,,,,1294827.0,4291480.0,,,,,,,1664272.0,
2021-09-22,405255929.0,,,,,,318275769.0,,,,,,,,,,,,,,,,,,,,51835739.0,,,,,,,,,,,,,,,,,,,,27861399.0,,,,,,1307214.0,4314706.0,,,,,,,1661102.0,
2021-09-23,401957778.0,,,,,,314862908.0,,,,,,,,,,,,,,,,,,,,51835739.0,,,,,,,,,,,,,,,,,,,,28024891.0,,,,,,1299548.0,4290016.0,,,,,,,1644676.0,
2021-09-24,402440584.0,,,,,,313004755.0,,,,,,,,,,,,,,,,,,,,52337520.0,,,,,,,,,,,,,,,,,,,,29916721.0,,,,,,1287770.0,4254136.0,,,,,,,1639682.0,
2021-09-25,402050881.0,,,,,,314096983.0,,,,,,,,,,,,,,,,,,,,52337520.0,,,,,,,,,,,,,,,,,,,,28453490.0,,,,,,1284548.0,4251698.0,,,,,,,1626642.0,
2021-09-26,408021484.0,,,,,,314002085.0,,,,,,,,,,,,,,,,,,,,58473873.0,,,,,,,,,,,,,,,,,,,,28356969.0,,,,,,1285000.0,4258785.0,,,,,,,1644772.0,
2021-09-27,398516249.0,,,,,,313330889.0,,,,,,,,,,,,,,,,,,,,49642145.0,,,,,,,,,,,,,,,,,,,,28354080.0,,,,,,1288961.0,4256260.0,,,,,,,1643914.0,
2021-09-28,398241315.0,,,,,,312706967.0,,,,,,,,,,,,,,,,,,,,50915429.0,,,,,,,,,,,,,,,,,,,,27478790.0,,,,,,1281283.0,4233370.0,,,,,,,1625476.0,
2021-09-29,404436443.0,,,,,,311047486.0,,,,,,,,,,,,,,,,,,,,58446544.0,,,,,,,,,,,,,,,,,,,,27811636.0,,,,,,1272292.0,4229024.0,,,,,,,1629461.0,
2021-09-30,393249933.0,,,,,,310706528.0,,,,,,,,,,,,,,,,,,,,47232798.0,,,,,,,,,,,,,,,,,,,,28205436.0,,,,,,1280193.0,4211601.0,,,,,,,1613377.0,
2021-10-01,402033528.0,,,,,,319581459.0,,,,,,,,,,,,,,,,,,,,46870747.0,,,,,,,,,,,,,,,,,,,,28400839.0,,,,,,1287200.0,4267526.0,,,,,,,1625757.0,
2021-10-02,401992265.0,,,,,,319949517.0,,,,,,,,,,,,,,,,,,,,46812722.0,,,,,,,,,,,,,,,,,,,,28013137.0,,,,,,1297071.0,4274057.0,,,,,,,1645761.0,
2021-10-03,404807517.0,,,,,,320214457.0,,,,,,,,,,,,,,,,,,,,49377302.0,,,,,,,,,,,,,,,,,,,,27988489.0,,,,,,1299961.0,4281548.0,,,,,,,1645760.0,
2021-10-04,406627223.0,,,,,,321091743.0,,,,,,,,,,,,,,,,,,,,50496714.0,,,,,,,,,,,,,,,,,,,,27814132.0,,,,,,1298301.0,4289974.0,,,,,,,1636359.0,
2021-10-05,409111436.0,,,,,,321386570.0,,,,,,,,,,,,,,,,,,,,50496714.0,,,,,,,,,,,,,,,,,,,,29648247.0,,,,,,1302440.0,4613796.0,,,,,,,1663669.0,
2021-10-06,416132822.0,,,,,,319388833.0,,,,,,,,,,,,,,,,,,,,59544766.0,,,,,,,,,,,,,,,,,,,,29682736.0,,,,,,1294479.0,4573170.0,,,,,,,1648838.0,
2021-10-07,415153439.0,,,,,,319519560.0,,,,,,,,,,,,,,,,,,,,59617888.0,,,,,,,,,,,,,,,,,,,,28485522.0,,,,,,1298694.0,4596186.0,,,,,,,1635589.0,
2021-10-08,408908967.0,,,,,,318785334.0,,,,,,,,,,,,,,,,,,,,52109227.0,,,,,,,,,,,,,,,,,,,,30517114.0,,,,,,1291891.0,4569040.0,,,,,,,1636361.0,
2021-10-09,406501454.0,,,,,,319199845.0,,,,,,,,,,,,,,,,,,,,52146235.0,,,,,,,,,,,,,,,,,,,,27643630.0,,,,,,1296948.0,4577900.0,,,,,,,1636896.0,
2021-10-10,413717267.0,,,,,,319401963.0,,,,,,,,,,,,,,,,,,,,59948544.0,,,,,,,,,,,,,,,,,,,,26843179.0,,,,,,1295567.0,4584503.0,,,,,,,1643511.0,
2021-10-11,401623716.0,,,,,,319138051.0,,,,,,,,,,,,,,,,,,,,48846518.0,,,,,,,,,,,,,,,,,,,,26151327.0,,,,,,1289321.0,4571531.0,,,,,,,1626968.0,
2021-10-12,413006949.0,,,,,,319924476.0,,,,,,,,,,,,,,,,,,,,59620633.0,,,,,,,,,,,,,,,,,,,,25921311.0,,,,,,1292489.0,4626964.0,,,,,,,1621076.0,
2021-10-13,402467535.0,,,,,,319784628.0,,,,,,,,,,,,,,,,,,,,49579864.0,,,,,,,,,,,,,,,,,,,,25564623.0,,,,,,1296895.0,4589993.0,,,,,,,1651532.0,
2021-10-14,420178898.0,,,,,,325704379.0,,,,,,,,,,,,,,,,,,,,62713006.0,,,,,,,,,,,,,,,,,,,,24122150.0,,,,,,1321717.0,4666582.0,,,,,,,1651064.0,
2021-10-15,420834593.0,,,,,,326237840.0,,,,,,,,,,,,,,,,,,,,62379433.0,,,,,,,,,,,,,,,,,,,,24584636.0,,,,,,1321012.0,4678029.0,,,,,,,1633643.0,
2021-10-16,406269881.0,,,,,,322459228.0,,,,,,,,,,,,,,,,,,,,52222796.0,,,,,,,,,,,,,,,,,,,,24069813.0,,,,,,1301063.0,4611848.0,,,,,,,1605133.0,
2021-10-17,415672148.0,,,,,,321991288.0,,,,,,,,,,,,,,,,,,,,61343271.0,,,,,,,,,,,,,,,,,,,,24780086.0,,,,,,1305634.0,4639809.0,,,,,,,1612060.0,
