date,all_Carbon & Environment,all_Gold & Commodities,all_Stocks & Equities,all_Real Estate,all_Bond & MMF Funds,all_RWA Wrappers,all_Private Credit,all_Crypto Funds,all_ETFs,all_RWA Perps,all_Other RWAs,all_Commodities
2021-09-04,15059399.0,339983760.0,52577555.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-05,14664428.0,338799850.0,43089293.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-06,15089186.0,338601910.0,57283579.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-07,14709149.0,339601527.0,57366586.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-08,14319766.0,317737205.0,58181157.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-09,13798736.0,315154418.0,55800793.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-10,14688997.5,316093277.0,57096585.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-11,15579259.0,317032136.0,58392377.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-12,15652291.0,317909392.0,45800128.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-13,15747479.0,316890004.0,45800128.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-14,15531887.0,318226066.0,54360834.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-15,17500939.0,318784168.0,48336243.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-16,19469991.0,319342270.0,42311653.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-17,29831446.0,313303185.0,50714917.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-18,28512307.0,320618009.0,47069806.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-19,29679325.0,321127529.0,47058188.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-20,29106927.5,320825148.0,46058438.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-21,28534530.0,320522767.0,45058688.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-22,27861399.0,325558791.0,51835739.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-23,28024891.0,322097148.0,51835739.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-24,29916721.0,320186343.0,52337520.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-25,28453490.0,321259871.0,52337520.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-26,28356969.0,321190642.0,58473873.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-27,28354080.0,320520024.0,49642145.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-28,27478790.0,319847096.0,50915429.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-29,27811636.0,318178263.0,58446544.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-09-30,28205436.0,317811699.0,47232798.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-01,28400839.0,326761942.0,46870747.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-02,28013137.0,327166406.0,46812722.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-03,27988489.0,327441726.0,49377302.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-04,27814132.0,328316377.0,50496714.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-05,29648247.0,328966475.0,50496714.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-06,29682736.0,326905320.0,59544766.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-07,28485522.0,327050029.0,59617888.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-08,30517114.0,326282626.0,52109227.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-09,27643630.0,326711589.0,52146235.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-10,26843179.0,326925544.0,59948544.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-11,26151327.0,326625871.0,48846518.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-12,25921311.0,327465005.0,59620633.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-13,25564623.0,327323048.0,49579864.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-14,24122150.0,333343742.0,62713006.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-15,24584636.0,333870524.0,62379433.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-16,24069813.0,329977272.0,52222796.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-17,24780086.0,329548791.0,61343271.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-18,24470821.0,328437606.0,61343271.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-19,24466325.0,328972050.0,70366343.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-20,22947691.0,331745808.0,66157903.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-21,61344102.0,331032545.0,60963219.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-22,66314583.0,329025797.0,54077515.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-23,70515994.0,332766501.0,63938998.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-24,72128872.0,333402342.0,67680772.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-25,75222135.0,332311149.0,72709087.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-26,83200064.0,332964027.0,74950022.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-27,79587356.0,330714281.0,76093027.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-28,80629886.0,330636215.0,64866975.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-29,78532385.0,331412575.0,75992726.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-30,75562919.0,326630916.0,64768439.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-10-31,78990984.0,327555996.0,64981427.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-11-01,75279558.0,327191544.0,60619293.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-11-02,80328994.0,330141745.0,77933741.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-11-03,80514344.0,328988194.0,77249385.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-11-04,90101429.0,325009457.0,79939371.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-11-05,97352009.0,331033554.0,86777654.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-11-06,96326918.0,336381944.0,94891512.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-11-07,97583236.0,337105520.0,79539423.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-11-08,100536606.0,339906288.0,70100330.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-11-09,100924574.0,495305584.0,88872559.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-11-10,101482006.0,500261746.0,88732038.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2021-11-11,101173547.0,503593636.0,69304226.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
