date,Total Active Mcap,Bonds,Precious Metals,Private Credit,Public Equities,Reinsurance,Digital Assets,Private Equity & Venture,Equity Indices,Equity ETFs,Real Estate,Oil,Carbon Credits,Industrial Metals,Commodities,Commodity Baskets,Natural Gas,Agricultural Commodities,Mixed Public Markets,Multi-Asset RWAs,RWA Perps OI
2021-09-04,355043159.0,,339983760.0,,,,,,,,,,15059399.0,,,,,,,,
2021-09-05,353464278.0,,338799850.0,,,,,,,,,,14664428.0,,,,,,,,
2021-09-06,353691096.0,,338601910.0,,,,,,,,,,15089186.0,,,,,,,,
2021-09-07,354310676.0,,339601527.0,,,,,,,,,,14709149.0,,,,,,,,
2021-09-08,332056971.0,,317737205.0,,,,,,,,,,14319766.0,,,,,,,,
2021-09-09,328953154.0,,315154418.0,,,,,,,,,,13798736.0,,,,,,,,
2021-09-10,330782274.5,,316093277.0,,,,,,,,,,14688997.5,,,,,,,,
2021-09-11,332611395.0,,317032136.0,,,,,,,,,,15579259.0,,,,,,,,
2021-09-12,333561683.0,,317909392.0,,,,,,,,,,15652291.0,,,,,,,,
2021-09-13,332637483.0,,316890004.0,,,,,,,,,,15747479.0,,,,,,,,
2021-09-14,333757953.0,,318226066.0,,,,,,,,,,15531887.0,,,,,,,,
2021-09-15,336285107.0,,318784168.0,,,,,,,,,,17500939.0,,,,,,,,
2021-09-16,338812261.0,,319342270.0,,,,,,,,,,19469991.0,,,,,,,,
2021-09-17,343134631.0,,313303185.0,,,,,,,,,,29831446.0,,,,,,,,
2021-09-18,349130316.0,,320618009.0,,,,,,,,,,28512307.0,,,,,,,,
2021-09-19,350806854.0,,321127529.0,,,,,,,,,,29679325.0,,,,,,,,
2021-09-20,349932075.5,,320825148.0,,,,,,,,,,29106927.5,,,,,,,,
2021-09-21,349057297.0,,320522767.0,,,,,,,,,,28534530.0,,,,,,,,
2021-09-22,353420190.0,,325558791.0,,,,,,,,,,27861399.0,,,,,,,,
2021-09-23,350122039.0,,322097148.0,,,,,,,,,,28024891.0,,,,,,,,
2021-09-24,350103064.0,,320186343.0,,,,,,,,,,29916721.0,,,,,,,,
2021-09-25,349713361.0,,321259871.0,,,,,,,,,,28453490.0,,,,,,,,
2021-09-26,349547611.0,,321190642.0,,,,,,,,,,28356969.0,,,,,,,,
2021-09-27,348874104.0,,320520024.0,,,,,,,,,,28354080.0,,,,,,,,
2021-09-28,347325886.0,,319847096.0,,,,,,,,,,27478790.0,,,,,,,,
2021-09-29,345989899.0,,318178263.0,,,,,,,,,,27811636.0,,,,,,,,
2021-09-30,346017135.0,,317811699.0,,,,,,,,,,28205436.0,,,,,,,,
2021-10-01,355162781.0,,326761942.0,,,,,,,,,,28400839.0,,,,,,,,
2021-10-02,355179543.0,,327166406.0,,,,,,,,,,28013137.0,,,,,,,,
2021-10-03,355430215.0,,327441726.0,,,,,,,,,,27988489.0,,,,,,,,
2021-10-04,356130509.0,,328316377.0,,,,,,,,,,27814132.0,,,,,,,,
2021-10-05,358614722.0,,328966475.0,,,,,,,,,,29648247.0,,,,,,,,
2021-10-06,356588056.0,,326905320.0,,,,,,,,,,29682736.0,,,,,,,,
2021-10-07,355535551.0,,327050029.0,,,,,,,,,,28485522.0,,,,,,,,
2021-10-08,356799740.0,,326282626.0,,,,,,,,,,30517114.0,,,,,,,,
2021-10-09,354355219.0,,326711589.0,,,,,,,,,,27643630.0,,,,,,,,
2021-10-10,353768723.0,,326925544.0,,,,,,,,,,26843179.0,,,,,,,,
2021-10-11,352777198.0,,326625871.0,,,,,,,,,,26151327.0,,,,,,,,
2021-10-12,353386316.0,,327465005.0,,,,,,,,,,25921311.0,,,,,,,,
2021-10-13,352887671.0,,327323048.0,,,,,,,,,,25564623.0,,,,,,,,
2021-10-14,357465892.0,,333343742.0,,,,,,,,,,24122150.0,,,,,,,,
2021-10-15,358455160.0,,333870524.0,,,,,,,,,,24584636.0,,,,,,,,
2021-10-16,354047085.0,,329977272.0,,,,,,,,,,24069813.0,,,,,,,,
2021-10-17,354328877.0,,329548791.0,,,,,,,,,,24780086.0,,,,,,,,
2021-10-18,352908427.0,,328437606.0,,,,,,,,,,24470821.0,,,,,,,,
2021-10-19,353438375.0,,328972050.0,,,,,,,,,,24466325.0,,,,,,,,
2021-10-20,354693499.0,,331745808.0,,,,,,,,,,22947691.0,,,,,,,,
2021-10-21,392376647.0,,331032545.0,,,,,,,,,,61344102.0,,,,,,,,
2021-10-22,395340380.0,,329025797.0,,,,,,,,,,66314583.0,,,,,,,,
2021-10-23,403282495.0,,332766501.0,,,,,,,,,,70515994.0,,,,,,,,
2021-10-24,405531214.0,,333402342.0,,,,,,,,,,72128872.0,,,,,,,,
2021-10-25,407533284.0,,332311149.0,,,,,,,,,,75222135.0,,,,,,,,
2021-10-26,416164091.0,,332964027.0,,,,,,,,,,83200064.0,,,,,,,,
2021-10-27,410301637.0,,330714281.0,,,,,,,,,,79587356.0,,,,,,,,
2021-10-28,411266101.0,,330636215.0,,,,,,,,,,80629886.0,,,,,,,,
2021-10-29,409944960.0,,331412575.0,,,,,,,,,,78532385.0,,,,,,,,
2021-10-30,402193136.0,,326630916.0,,,,,,,,,,75562220.0,,,,,,,,
2021-10-31,406546199.0,,327555996.0,,,,,,,,,,78990203.0,,,,,,,,
2021-11-01,402470342.0,,327191544.0,,,,,,,,,,75278798.0,,,,,,,,
2021-11-02,410469906.0,,330141745.0,,,,,,,,,,80328161.0,,,,,,,,
2021-11-03,409501723.0,,328988194.0,,,,,,,,,,80513529.0,,,,,,,,
2021-11-04,415109938.0,,325009457.0,,,,,,,,,,90100481.0,,,,,,,,
2021-11-05,428384588.0,,331033554.0,,,,,,,,,,97351034.0,,,,,,,,
2021-11-06,432707769.0,,336381944.0,,,,,,,,,,96325825.0,,,,,,,,
2021-11-07,434687702.0,,337105520.0,,,,,,,,,,97582182.0,,,,,,,,
2021-11-08,440441770.0,,339906288.0,,,,,,,,,,100535482.0,,,,,,,,
2021-11-09,596229005.0,,495305584.0,,,,,,,,,,100923421.0,,,,,,,,
2021-11-10,601742625.0,,500261746.0,,,,,,,,,,101480879.0,,,,,,,,
2021-11-11,604766050.0,,503593636.0,,,,,,,,,,101172414.0,,,,,,,,
2021-11-12,608174670.0,,508246345.0,,,,,,,,,,99928325.0,,,,,,,,
2021-11-13,636525208.0,,533656428.0,,,,,,,,,,102868780.0,,,,,,,,
2021-11-14,642775799.0,,534696651.0,,,,,,,,,,108079148.0,,,,,,,,
2021-11-15,644630030.0,,534782657.0,,,,,,,,,,109847373.0,,,,,,,,
2021-11-16,625732461.0,,523651161.0,,,,,,,,,,102081300.0,,,,,,,,
2021-11-17,621879010.0,,524689074.0,,,,,,,,,,97189936.0,,,,,,,,
2021-11-18,635728367.0,,534003001.0,,,,,,,,,,101725366.0,,,,,,,,
2021-11-19,635487887.0,,530400913.0,,,,,,,,,,105086974.0,,,,,,,,
2021-11-20,646241118.0,,530241036.0,,,,,,,,,,116000082.0,,,,,,,,
2021-11-21,645735884.0,,526919347.0,,,,,,,,,,118816537.0,,,,,,,,
2021-11-22,642787977.0,,525538045.0,,,,,,,,,,117249932.0,,,,,,,,
2021-11-23,636587978.0,,516275822.0,,,,,,,,,,120312156.0,,,,,,,,
2021-11-24,633469774.0,,509379859.0,,,,,,,,,,124089915.0,,,,,,,,
2021-11-25,641749365.0,,512920824.0,,,,,,,,,,128828541.0,,,,,,,,
2021-11-26,643809318.0,,512915867.0,,,,,,,,,,130893451.0,,,,,,,,
2021-11-27,682745414.0,,552247364.0,,,,,,,,,,130498050.0,,,,,,,,
2021-11-28,686413089.0,,551783470.0,,,,,,,,,,134629619.0,,,,,,,,
2021-11-29,680792563.0,,550037384.0,,,,,,,,,,130755179.0,,,,,,,,
2021-11-30,692747753.0,,554277047.0,,,,,,,,,,138470706.0,,,,,,,,
2021-12-01,682521844.0,,550293925.0,,,,,,,,,,132227919.0,,,,,,,,
2021-12-02,680384080.0,,551943768.0,,,,,,,,,,128440312.0,,,,,,,,
2021-12-03,669136432.0,,548396020.0,,,,,,,,,,120740412.0,,,,,,,,
2021-12-04,668050187.0,,552621923.0,,,,,,,,,,115428264.0,,,,,,,,
2021-12-05,711032018.0,,590849569.0,,,,,,,,,,120182449.0,,,,,,,,
2021-12-06,709504212.0,,586733120.0,,,,,,,,,,122771092.0,,,,,,,,
2021-12-07,764892067.0,,625107759.0,,,,,,,,,,139784308.0,,,,,,,,
2021-12-08,765344225.0,,624350200.0,,,,,,,,,,140994025.0,,,,,,,,
2021-12-09,753542945.0,,627541162.0,,,,,,,,,,126001783.0,,,,,,,,
2021-12-10,735484377.0,,622344780.0,,,,,,,,,,113139597.0,,,,,,,,
2021-12-11,737807752.0,,626249980.0,,,,,,,,,,111557772.0,,,,,,,,
2021-12-12,748644493.0,,628020847.0,,,,,,,,,,120623646.0,,,,,,,,
2021-12-13,758208815.0,,626104174.0,,,,,,,,,,132104641.0,,,,,,,,
2021-12-14,750698773.0,,627637619.0,,,,,,,,,,123061154.0,,,,,,,,
2021-12-15,743031036.0,,623706435.0,,,,,,,,,,119324601.0,,,,,,,,
2021-12-16,747740613.0,,629731223.0,,,,,,,,,,118009390.0,,,,,,,,
2021-12-17,761081468.0,,639984266.0,,,,,,,,,,121097202.0,,,,,,,,
2021-12-18,753620828.0,,642538789.0,,,,,,,,,,111082039.0,,,,,,,,
2021-12-19,755737081.0,,644163293.0,,,,,,,,,,111573788.0,,,,,,,,
2021-12-20,760379521.0,,643574472.0,,,,,,,,,,116805049.0,,,,,,,,
2021-12-21,753182314.0,,641341201.0,,,,,,,,,,111841113.0,,,,,,,,
2021-12-22,754040274.0,,640258340.0,,,,,,,,,,113781934.0,,,,,,,,
2021-12-23,756353937.0,,627782383.0,,,,,,,,,,128571554.0,,,,,,,,
2021-12-24,761380625.0,,629704370.0,,,,,,,,,,131676255.0,,,,,,,,
2021-12-25,765593953.0,,632201781.0,,,,,,,,,,133392172.0,,,,,,,,
2021-12-26,766910513.0,,632344009.0,,,,,,,,,,134566504.0,,,,,,,,
2021-12-27,768227073.0,,632486237.0,,,,,,,,,,135740836.0,,,,,,,,
2021-12-28,769543633.0,,632628465.0,,,,,,,,,,136915168.0,,,,,,,,
2021-12-29,772584406.0,,630249023.0,,,,,,,,,,142335383.0,,,,,,,,
2021-12-30,773717038.0,,632084250.0,,,,,,,,,,141632788.0,,,,,,,,
2021-12-31,781850270.0,,635310317.0,,,,,,,,,,146539953.0,,,,,,,,
2022-01-01,778383237.0,,637135349.0,,,,,,,,,,141247888.0,,,,,,,,
2022-01-02,893029109.0,,753896121.0,,,,,,,,,,139132988.0,,,,,,,,
2022-01-03,878668274.0,,750091283.0,,,,,,,,,,128576991.0,,,,,,,,
2022-01-04,876281253.0,,740627225.0,,,,,,,,,,135654028.0,,,,,,,,
2022-01-05,882607943.0,,747039422.0,,,,,,,,,,135568521.0,,,,,,,,
2022-01-06,873060979.0,,750738850.0,,,,,,,,,,122322129.0,,,,,,,,
2022-01-07,850491505.0,,735331659.0,,,,,,,,,,115159846.0,,,,,,,,
2022-01-08,862647088.0,,742515537.0,,,,,,,,,,120131551.0,,,,,,,,
2022-01-09,858507013.0,,737797989.0,,,,,,,,,,120709024.0,,,,,,,,
2022-01-10,857153783.0,,737810712.0,,,,,,,,,,119343071.0,,,,,,,,
2022-01-11,858737020.0,,743719134.0,,,,,,,,,,115017886.0,,,,,,,,
