date,Total Onchain Mcap,Bonds,Precious Metals,Private Credit,Public Equities,Real Estate,Reinsurance,Digital Assets,Private Equity & Venture,Equity Indices,Equity ETFs,Mixed Public Markets,Oil,Carbon Credits,Industrial Metals,Multi-Asset RWAs,Commodities,Commodity Baskets,Natural Gas,Agricultural Commodities,Collectibles & Luxury Goods,Energy,RWA Perps OI
2021-09-04,407620714.0,,339983760.0,,,,,,52577555.0,,,,,15059399.0,,,,,,,,,
2021-09-05,396553571.0,,338799850.0,,,,,,43089293.0,,,,,14664428.0,,,,,,,,,
2021-09-06,410974675.0,,338601910.0,,,,,,57283579.0,,,,,15089186.0,,,,,,,,,
2021-09-07,411677262.0,,339601527.0,,,,,,57366586.0,,,,,14709149.0,,,,,,,,,
2021-09-08,390238128.0,,317737205.0,,,,,,58181157.0,,,,,14319766.0,,,,,,,,,
2021-09-09,384753947.0,,315154418.0,,,,,,55800793.0,,,,,13798736.0,,,,,,,,,
2021-09-10,387878859.5,,316093277.0,,,,,,57096585.0,,,,,14688997.5,,,,,,,,,
2021-09-11,391003772.0,,317032136.0,,,,,,58392377.0,,,,,15579259.0,,,,,,,,,
2021-09-12,379361811.0,,317909392.0,,,,,,45800128.0,,,,,15652291.0,,,,,,,,,
2021-09-13,378437611.0,,316890004.0,,,,,,45800128.0,,,,,15747479.0,,,,,,,,,
2021-09-14,388118787.0,,318226066.0,,,,,,54360834.0,,,,,15531887.0,,,,,,,,,
2021-09-15,384621350.5,,318784168.0,,,,,,48336243.5,,,,,17500939.0,,,,,,,,,
2021-09-16,381123914.0,,319342270.0,,,,,,42311653.0,,,,,19469991.0,,,,,,,,,
2021-09-17,393849548.0,,313303185.0,,,,,,50714917.0,,,,,29831446.0,,,,,,,,,
2021-09-18,396200122.0,,320618009.0,,,,,,47069806.0,,,,,28512307.0,,,,,,,,,
2021-09-19,397865042.0,,321127529.0,,,,,,47058188.0,,,,,29679325.0,,,,,,,,,
2021-09-20,395990513.5,,320825148.0,,,,,,46058438.0,,,,,29106927.5,,,,,,,,,
2021-09-21,394115985.0,,320522767.0,,,,,,45058688.0,,,,,28534530.0,,,,,,,,,
2021-09-22,405255929.0,,325558791.0,,,,,,51835739.0,,,,,27861399.0,,,,,,,,,
2021-09-23,401957778.0,,322097148.0,,,,,,51835739.0,,,,,28024891.0,,,,,,,,,
2021-09-24,402440584.0,,320186343.0,,,,,,52337520.0,,,,,29916721.0,,,,,,,,,
2021-09-25,402050881.0,,321259871.0,,,,,,52337520.0,,,,,28453490.0,,,,,,,,,
2021-09-26,408021484.0,,321190642.0,,,,,,58473873.0,,,,,28356969.0,,,,,,,,,
2021-09-27,398516249.0,,320520024.0,,,,,,49642145.0,,,,,28354080.0,,,,,,,,,
2021-09-28,398241315.0,,319847096.0,,,,,,50915429.0,,,,,27478790.0,,,,,,,,,
2021-09-29,404436443.0,,318178263.0,,,,,,58446544.0,,,,,27811636.0,,,,,,,,,
2021-09-30,393249933.0,,317811699.0,,,,,,47232798.0,,,,,28205436.0,,,,,,,,,
2021-10-01,402033528.0,,326761942.0,,,,,,46870747.0,,,,,28400839.0,,,,,,,,,
2021-10-02,401992265.0,,327166406.0,,,,,,46812722.0,,,,,28013137.0,,,,,,,,,
2021-10-03,404807517.0,,327441726.0,,,,,,49377302.0,,,,,27988489.0,,,,,,,,,
2021-10-04,406627223.0,,328316377.0,,,,,,50496714.0,,,,,27814132.0,,,,,,,,,
2021-10-05,409111436.0,,328966475.0,,,,,,50496714.0,,,,,29648247.0,,,,,,,,,
2021-10-06,416132822.0,,326905320.0,,,,,,59544766.0,,,,,29682736.0,,,,,,,,,
2021-10-07,415153439.0,,327050029.0,,,,,,59617888.0,,,,,28485522.0,,,,,,,,,
2021-10-08,408908967.0,,326282626.0,,,,,,52109227.0,,,,,30517114.0,,,,,,,,,
2021-10-09,406501454.0,,326711589.0,,,,,,52146235.0,,,,,27643630.0,,,,,,,,,
2021-10-10,413717267.0,,326925544.0,,,,,,59948544.0,,,,,26843179.0,,,,,,,,,
2021-10-11,401623716.0,,326625871.0,,,,,,48846518.0,,,,,26151327.0,,,,,,,,,
2021-10-12,413006949.0,,327465005.0,,,,,,59620633.0,,,,,25921311.0,,,,,,,,,
2021-10-13,402467535.0,,327323048.0,,,,,,49579864.0,,,,,25564623.0,,,,,,,,,
2021-10-14,420178898.0,,333343742.0,,,,,,62713006.0,,,,,24122150.0,,,,,,,,,
2021-10-15,420834593.0,,333870524.0,,,,,,62379433.0,,,,,24584636.0,,,,,,,,,
2021-10-16,406269881.0,,329977272.0,,,,,,52222796.0,,,,,24069813.0,,,,,,,,,
2021-10-17,415672148.0,,329548791.0,,,,,,61343271.0,,,,,24780086.0,,,,,,,,,
2021-10-18,414251698.0,,328437606.0,,,,,,61343271.0,,,,,24470821.0,,,,,,,,,
2021-10-19,423804718.0,,328972050.0,,,,,,70366343.0,,,,,24466325.0,,,,,,,,,
2021-10-20,420851402.0,,331745808.0,,,,,,66157903.0,,,,,22947691.0,,,,,,,,,
2021-10-21,453339866.0,,331032545.0,,,,,,60963219.0,,,,,61344102.0,,,,,,,,,
2021-10-22,449417895.0,,329025797.0,,,,,,54077515.0,,,,,66314583.0,,,,,,,,,
2021-10-23,467221493.0,,332766501.0,,,,,,63938998.0,,,,,70515994.0,,,,,,,,,
2021-10-24,473211986.0,,333402342.0,,,,,,67680772.0,,,,,72128872.0,,,,,,,,,
2021-10-25,480242371.0,,332311149.0,,,,,,72709087.0,,,,,75222135.0,,,,,,,,,
2021-10-26,491114113.0,,332964027.0,,,,,,74950022.0,,,,,83200064.0,,,,,,,,,
2021-10-27,486394664.0,,330714281.0,,,,,,76093027.0,,,,,79587356.0,,,,,,,,,
2021-10-28,476133076.0,,330636215.0,,,,,,64866975.0,,,,,80629886.0,,,,,,,,,
2021-10-29,485937686.0,,331412575.0,,,,,,75992726.0,,,,,78532385.0,,,,,,,,,
2021-10-30,466962274.0,,326630916.0,,,,,,64768439.0,,,,,75562919.0,,,,,,,,,
2021-10-31,471528407.0,,327555996.0,,,,,,64981427.0,,,,,78990984.0,,,,,,,,,
2021-11-01,463090395.0,,327191544.0,,,,,,60619293.0,,,,,75279558.0,,,,,,,,,
2021-11-02,488404480.0,,330141745.0,,,,,,77933741.0,,,,,80328994.0,,,,,,,,,
2021-11-03,486751923.0,,328988194.0,,,,,,77249385.0,,,,,80514344.0,,,,,,,,,
2021-11-04,495050257.0,,325009457.0,,,,,,79939371.0,,,,,90101429.0,,,,,,,,,
