date,Exchange Inflow CDD
2012-04-02,0.10099236
2012-04-03,0.0
2012-04-04,0.0
2012-04-05,0.0
2012-04-06,0.0
2012-04-07,0.0
2012-04-08,0.10198218
2012-04-09,0.0
2012-04-10,0.0
2012-04-11,0.0
2012-04-12,0.0
2012-04-13,0.0
2012-04-14,0.0
2012-04-15,0.0
2012-04-16,0.0
2012-04-17,0.0
2012-04-18,0.0
2012-04-19,0.0
2012-04-20,0.0
2012-04-21,0.0
2012-04-22,0.0
2012-04-23,0.0
2012-04-24,0.0
2012-04-25,0.0
2012-04-26,0.0
2012-04-27,0.0
2012-04-28,0.0
2012-04-29,0.0
2012-04-30,0.0
2012-05-01,0.0
2012-05-02,0.0
2012-05-03,0.0
2012-05-04,0.0
2012-05-05,0.0
2012-05-06,0.49628704
2012-05-07,0.0
2012-05-08,0.0
2012-05-09,0.0
2012-05-10,0.0
2012-05-11,0.0
2012-05-12,0.13466181
2012-05-13,0.0
2012-05-14,2.969e-05
2012-05-15,0.0
2012-05-16,0.0
2012-05-17,0.0
2012-05-18,0.0
2012-05-19,0.0
2012-05-20,0.0
2012-05-21,0.0
2012-05-22,0.0
2012-05-23,0.0
2012-05-24,0.0
2012-05-25,0.0
2012-05-26,0.0
2012-05-27,0.0
2012-05-28,0.0
2012-05-29,0.0
2012-05-30,0.0
2012-05-31,0.0
2012-06-01,0.0
2012-06-02,0.0
2012-06-03,0.0
2012-06-04,0.0
2012-06-05,0.0
2012-06-06,0.00689815
2012-06-07,0.0
2012-06-08,0.0
2012-06-09,0.0
2012-06-10,0.0
2012-06-11,0.0
2012-06-12,0.0
2012-06-13,0.0
2012-06-14,0.0
2012-06-15,0.0
2012-06-16,0.0
2012-06-17,0.0
2012-06-18,0.0
2012-06-19,0.0
2012-06-20,0.0
2012-06-21,0.0
2012-06-22,0.0
2012-06-23,0.0
2012-06-24,0.0
2012-06-25,0.0
2012-06-26,0.0
2012-06-27,0.0
2012-06-28,0.0
2012-06-29,23.01394653
2012-06-30,470.08202125
2012-07-01,0.01018278
2012-07-02,0.00023806
2012-07-03,0.04229073
2012-07-04,0.0002245
2012-07-05,0.00230517
2012-07-06,529.23788192
2012-07-07,0.09428678
2012-07-08,0.32905945
2012-07-09,0.01812404
2012-07-10,134.92860033
2012-07-11,0.00162029
2012-07-12,0.01899599
2012-07-13,3.2961938
2012-07-14,0.0137277
2012-07-15,0.00194347
2012-07-16,0.16310218
2012-07-17,0.04144395
2012-07-18,0.00318494
2012-07-19,0.00052201
2012-07-20,0.01913054
2012-07-21,0.00250013
2012-07-22,0.00147634
2012-07-23,0.00022822
2012-07-24,26.157299
2012-07-25,5.428e-05
