date,Fees USD (Total)
2019-02-01,113848.71594014
2019-02-02,65439.19487198
2019-02-03,50998.18909299
2019-02-04,58933.12391106
2019-02-05,59447.09875643
2019-02-06,74103.26067553
2019-02-07,56845.59120155
2019-02-08,73416.1051511
2019-02-09,64738.70824666
2019-02-10,49517.2218025
2019-02-11,83836.21111553
2019-02-12,123954.35006087
2019-02-13,128653.20547923
2019-02-14,94116.290487
2019-02-15,95123.98502739
2019-02-16,80852.92380058
2019-02-17,69332.9522851
2019-02-18,111686.46043577
2019-02-19,143714.76707223
2019-02-20,148507.53004144
2019-02-21,136491.50700514
2019-02-22,154179.57050798
2019-02-23,101645.22804212
2019-02-24,117977.74232839
2019-02-25,148047.44792518
2019-02-26,136649.50022064
2019-02-27,124353.79238623
2019-02-28,115854.90958315
2019-03-01,116820.78915491
2019-03-02,96655.49309931
2019-03-03,81593.08839886
2019-03-04,106139.14248088
2019-03-05,109840.37701428
2019-03-06,148007.63930565
2019-03-07,147865.17064275
2019-03-08,134362.35459321
2019-03-09,95989.97512622
2019-03-10,74634.2482286
2019-03-11,119497.38948132
2019-03-12,121885.70110782
2019-03-13,139357.75852611
2019-03-14,145295.37310943
2019-03-15,121422.47356848
2019-03-16,89283.9445391
2019-03-17,66773.97958114
2019-03-18,89111.60189247
2019-03-19,89048.12453721
2019-03-20,109086.96568212
2019-03-21,142367.04720568
2019-03-22,108287.99724336
2019-03-23,71711.92510987
2019-03-24,62514.53614232
2019-03-25,115806.06133945
2019-03-26,143064.26136827
2019-03-27,192361.99548474
2019-03-28,192294.65042197
2019-03-29,258807.34328206
2019-03-30,223809.3599026
2019-03-31,182930.46893987
2019-04-01,255758.80571949
2019-04-02,532625.29206428
2019-04-03,712656.32628867
2019-04-04,765213.91562038
2019-04-05,570519.02387755
2019-04-06,406981.92061512
2019-04-07,438158.20002407
2019-04-08,678020.10887815
2019-04-09,594495.46289431
2019-04-10,585519.5793481
2019-04-11,586263.41517656
2019-04-12,504818.3085793
2019-04-13,334730.69083289
2019-04-14,290503.04687994
2019-04-15,403113.81848926
2019-04-16,389754.58778962
2019-04-17,400727.09639522
2019-04-18,379855.27249088
2019-04-19,411003.50275703
2019-04-20,307202.87160025
2019-04-21,264281.79734844
2019-04-22,371125.78151651
2019-04-23,532377.9652288
2019-04-24,713242.70630851
2019-04-25,510386.30575895
2019-04-26,482419.35458114
2019-04-27,287656.91161446
2019-04-28,253954.72880296
2019-04-29,373025.64989003
2019-04-30,450021.09615465
2019-05-01,350826.12922328
2019-05-02,351954.37418094
2019-05-03,463598.03178717
2019-05-04,349286.4620764
2019-05-05,363047.67226929
2019-05-06,435840.17037332
2019-05-07,547152.39517708
2019-05-08,663325.96441056
2019-05-09,650727.04288379
2019-05-10,782092.63692779
2019-05-11,851462.07613454
2019-05-12,743797.15540716
2019-05-13,835903.37039234
2019-05-14,1057888.36752331
2019-05-15,1546713.76569364
2019-05-16,1825851.05603157
2019-05-17,1651811.74646966
2019-05-18,985701.45161994
2019-05-19,993897.87374778
2019-05-20,1463205.93501958
2019-05-21,1601945.53857655
2019-05-22,1392156.47385349
2019-05-23,1262211.71748018
2019-05-24,1528413.76296642
2019-05-25,1025213.67903466
2019-05-26,775988.31261832
2019-05-27,1652664.00661215
2019-05-28,1680828.87220927
2019-05-29,1616334.37483008
2019-05-30,1623805.70314332
2019-05-31,1716621.56954773
2019-06-01,1361860.75796311
2019-06-02,1025830.08396466
2019-06-03,1696017.81725866
2019-06-04,1718552.10521418
2019-06-05,1238558.81294828
2019-06-06,946174.18926823
2019-06-07,842614.28064322
2019-06-08,581409.42562223
2019-06-09,489652.36866722
2019-06-10,794596.68124554
2019-06-11,869483.54422686
2019-06-12,870601.90806792
2019-06-13,890540.72286558
2019-06-14,982666.2943042
2019-06-15,683518.23964228
2019-06-16,674838.04950627
2019-06-17,1085910.89922358
2019-06-18,1065920.45415333
2019-06-19,966298.69497019
2019-06-20,1045993.19613289
2019-06-21,1236017.17398929
2019-06-22,1314518.94760139
2019-06-23,877213.7232138
2019-06-24,1111603.36936262
2019-06-25,1376836.39939301
2019-06-26,2359661.12359437
2019-06-27,2367931.3070474
2019-06-28,2148525.88017633
2019-06-29,1294914.80240698
2019-06-30,1213658.94228256
2019-07-01,1360790.72708233
2019-07-02,1214869.11856849
2019-07-03,1071509.47406312
2019-07-04,983743.99329866
2019-07-05,846307.97874859
2019-07-06,576141.33038617
2019-07-07,514688.77185915
2019-07-08,794592.56387396
2019-07-09,889471.99908524
2019-07-10,1081885.70571415
2019-07-11,919167.96820953
2019-07-12,779028.72827665
2019-07-13,506564.38187107
2019-07-14,439833.64480194
2019-07-15,665744.11686642
2019-07-16,649126.09380156
2019-07-17,617016.05232365
2019-07-18,726947.05200608
2019-07-19,742948.43103943
2019-07-20,532374.27578951
2019-07-21,396437.08761576
2019-07-22,563275.64646779
2019-07-23,520338.83348319
2019-07-24,484731.56857743
2019-07-25,562487.40944418
2019-07-26,454146.73398726
2019-07-27,320903.94584112
2019-07-28,251540.36528902
2019-07-29,379641.31000501
2019-07-30,575461.67504407
2019-07-31,528758.27515723
2019-08-01,470651.88936611
2019-08-02,468063.2992506
2019-08-03,296139.26860291
2019-08-04,212811.21858451
2019-08-05,495328.67589855
2019-08-06,539385.40673521
2019-08-07,832300.01460407
2019-08-08,831167.80831632
2019-08-09,772541.64263991
2019-08-10,460860.62170686
2019-08-11,345649.02477889
2019-08-12,576287.17542329
2019-08-13,836359.12854306
2019-08-14,614996.68647274
2019-08-15,539248.30911054
2019-08-16,525703.08768992
2019-08-17,364443.44846814
2019-08-18,300315.88055473
2019-08-19,442862.83206699
2019-08-20,501619.18195833
2019-08-21,531847.42990681
2019-08-22,542764.11527848
2019-08-23,424921.92848066
2019-08-24,305161.56652206
2019-08-25,218004.26521451
2019-08-26,342966.96269946
2019-08-27,345968.40543188
2019-08-28,340700.33129218
2019-08-29,322625.26970195
2019-08-30,328920.49555004
2019-08-31,230450.27424464
2019-09-01,192699.11552934
2019-09-02,285574.38722083
2019-09-03,409874.16009081
2019-09-04,393625.60428548
2019-09-05,387155.70519966
2019-09-06,399191.2954889
2019-09-07,277857.46962217
2019-09-08,227187.68390843
2019-09-09,336670.74801934
2019-09-10,381861.93142491
2019-09-11,349900.52403291
2019-09-12,301254.98110059
2019-09-13,283643.85654074
2019-09-14,217015.30706294
2019-09-15,187923.29126547
2019-09-16,299296.88521042
2019-09-17,353854.08661381
2019-09-18,347799.97035437
2019-09-19,363693.2601043
2019-09-20,325936.33508883
2019-09-21,235008.87878752
2019-09-22,204953.89168349
2019-09-23,318082.49516397
2019-09-24,362006.91198738
2019-09-25,360786.62677666
2019-09-26,269522.94805902
2019-09-27,275173.63355095
2019-09-28,188633.07913113
2019-09-29,169256.57955275
2019-09-30,333133.35939492
2019-10-01,402691.05477415
2019-10-02,306666.37739811
2019-10-03,311107.79401752
2019-10-04,226335.81863947
2019-10-05,154995.90520046
2019-10-06,131330.72848035
2019-10-07,199127.55058917
2019-10-08,226864.57721074
2019-10-09,254474.14808995
2019-10-10,285636.85627307
2019-10-11,233305.49158533
2019-10-12,172936.20900583
2019-10-13,135167.65273492
2019-10-14,197781.50600601
2019-10-15,213967.20155598
2019-10-16,234569.60856867
2019-10-17,204186.80671961
2019-10-18,198468.90972142
2019-10-19,145680.93617084
2019-10-20,126818.10828559
2019-10-21,169515.08596239
2019-10-22,182209.53777711
2019-10-23,238814.52480615
2019-10-24,215522.00152256
2019-10-25,287885.32147845
2019-10-26,443951.43164122
2019-10-27,319702.6763753
2019-10-28,358707.8983401
2019-10-29,332301.70141832
2019-10-30,308726.15221443
2019-10-31,325231.55562863
2019-11-01,367288.17944894
2019-11-02,256759.68948157
2019-11-03,239955.39212558
2019-11-04,447978.9544891
2019-11-05,408036.73188345
2019-11-06,360783.74955333
2019-11-07,366922.74690668
2019-11-08,366549.04541106
2019-11-09,259504.1626799
2019-11-10,212180.27291326
2019-11-11,259877.29581412
2019-11-12,250432.4529048
2019-11-13,300514.31809689
2019-11-14,256906.82535183
2019-11-15,253573.70806565
2019-11-16,194409.13242068
