event_id,event_date,category,asset,window_days,post_event_log_return,placebo_percentile,two_sided_placebo_pvalue,placebo_windows,sample_start,sample_end,timing
ftx_collapse_2022,2022-11-08,secondary,BTC,10,-0.104873324952981,0.089622641509434,0.179245283018868,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded"
ftx_collapse_2022,2022-11-08,secondary,ETH,1,-0.190646920478511,0.0013215859030837,0.0026431718061674,2270,2020-01-02,2026-04-14,"+1 through +1, event day excluded"
ftx_collapse_2022,2022-11-08,secondary,ETH,5,-0.0886966096588742,0.111363636363636,0.222727272727273,440,2020-01-02,2026-04-14,"+1 through +5, event day excluded"
ftx_collapse_2022,2022-11-08,secondary,ETH,10,-0.09656375704723,0.160377358490566,0.320754716981132,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded"
svb_crisis_2023,2023-03-10,secondary,BTC,1,0.0108271666942699,0.685022026431718,0.629955947136564,2270,2020-01-02,2026-04-14,"+1 through +1, event day excluded"
svb_crisis_2023,2023-03-10,secondary,BTC,5,0.186238547987163,0.993181818181818,0.0136363636363637,440,2020-01-02,2026-04-14,"+1 through +5, event day excluded"
svb_crisis_2023,2023-03-10,secondary,BTC,10,0.319427466802535,0.995283018867924,0.00943396226415105,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded"
svb_crisis_2023,2023-03-10,secondary,ETH,1,0.0257070856953039,0.778854625550661,0.442290748898678,2270,2020-01-02,2026-04-14,"+1 through +1, event day excluded"
svb_crisis_2023,2023-03-10,secondary,ETH,5,0.144889034562859,0.938636363636364,0.122727272727273,440,2020-01-02,2026-04-14,"+1 through +5, event day excluded"
svb_crisis_2023,2023-03-10,secondary,ETH,10,0.195227504464837,0.929245283018868,0.141509433962264,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded"
yen_carry_unwind_2024,2024-08-05,secondary,BTC,1,0.0366163228982455,0.900881057268722,0.198237885462555,2270,2020-01-02,2026-04-14,"+1 through +1, event day excluded"
yen_carry_unwind_2024,2024-08-05,secondary,BTC,5,0.120300639892552,0.963636363636364,0.0727272727272728,440,2020-01-02,2026-04-14,"+1 through +5, event day excluded"
yen_carry_unwind_2024,2024-08-05,secondary,BTC,10,0.0632852342732289,0.721698113207547,0.556603773584906,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded"
yen_carry_unwind_2024,2024-08-05,secondary,ETH,1,0.0171843285120552,0.706167400881057,0.587665198237886,2270,2020-01-02,2026-04-14,"+1 through +1, event day excluded"
yen_carry_unwind_2024,2024-08-05,secondary,ETH,5,0.0756767625131465,0.802272727272727,0.395454545454546,440,2020-01-02,2026-04-14,"+1 through +5, event day excluded"
yen_carry_unwind_2024,2024-08-05,secondary,ETH,10,0.0602620987911022,0.641509433962264,0.716981132075472,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded"
