date,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
2017-07-10,15058349582.9104,15424501516.147224,10330569098.54361,11817522562.894537,,,,,
2017-07-17,11839102613.306717,18213940938.833584,11452934241.399082,16800329646.226173,,,,,
2017-07-24,16805005049.177303,17449136843.46568,13176001468.73689,14025928468.454548,,,,,
2017-07-31,14034475381.066864,22529215880.81988,13172527888.710192,20902271535.789097,,,,,
2017-08-07,20818129267.64396,26233479755.774166,20005274154.787575,23595875566.93996,,,,,
2017-08-14,23517019982.324863,34952110120.01891,20337455059.216072,30825645318.970005,,,,,
2017-08-21,30917165753.044537,38785971122.309044,26476781733.703808,34332059415.54358,,,,,
2017-08-28,34266970404.456394,40576195275.238106,31396122728.34407,36182671646.23724,,,,,
2017-09-04,36189472526.20936,39035079056.3714,28255374413.51188,32832233506.739414,,,,,
2017-09-11,32808613447.832447,35911942884.78458,20114707093.833393,27537998205.21422,,,,,
2017-09-18,27619074944.836227,32027093993.16944,25050190417.349316,26892931144.653275,,,,,
2017-09-25,26918489133.84808,38855153678.051834,26458793385.56143,32040233815.248055,,,,,
2017-10-02,32060747987.945248,34445711920.96121,28721949448.5473,31944112969.44776,,,,,
2017-10-09,31963908224.273636,35896063746.80644,26776038207.11551,33445115899.29391,,,,,
2017-10-16,33426829248.578255,37749780425.58261,27946936924.617508,30184406130.983677,,,,,
2017-10-23,30172896465.45116,36090282493.45259,27087599775.76605,32430474932.081474,,,,,
2017-10-30,32612742068.249817,38787597916.42761,28137040280.334072,35534690786.5629,,,,,
2017-11-06,35569156937.20427,79580733976.32072,33545744594.917324,53880210233.88487,,,,,
2017-11-13,53980103649.02101,60213557338.464745,42685511288.15479,54423280888.3564,,,,,
2017-11-20,54451074221.51741,72405876617.42662,52293581264.06834,69045511168.97775,,,,,
2017-11-27,69248615488.11679,85890225003.426,55539069463.13666,78822628981.88344,,,,,
2017-12-04,78798276459.05438,105086375923.86963,64101621125.61932,82926297344.58174,,,,,
2017-12-11,82978634146.96521,173186154049.32703,77423220129.27835,156127534726.74225,,,,,
2017-12-18,156274051003.61115,245340471560.7866,124103962172.10992,193027479169.02368,,,,,
2017-12-25,191450413358.15515,263670510307.87207,168267756391.15967,231871595564.57886,,,,,
2018-01-01,231006858946.24347,358515896167.76526,211393574933.5948,312908869830.69244,,,,,
2018-01-08,313456061958.8397,329817720108.0499,216700663188.79843,260541901337.03418,,,,,
2018-01-15,260518721625.75244,282799057590.8424,133351083589.1454,198772369261.76044,,,,,
2018-01-22,198926052543.22546,212614400338.86273,165645956673.03088,204391026297.0252,,,,,
2018-01-29,204203994556.5197,209897868030.70325,103418174506.19614,132494712968.43481,,,,,
2018-02-05,132268491806.5663,167449051318.6432,85278987325.39719,137050017829.40128,,,,,
2018-02-12,136986222550.98758,185476230076.25616,134537867331.73676,162181529004.1885,,,,,
2018-02-19,162333924346.9673,179567452987.4819,131333523539.8073,141223010852.2613,,,,,
2018-02-26,141012322501.6308,156984672829.79047,133130195605.77373,149143364645.97974,,,,,
2018-03-05,149722045950.04498,157854216158.512,102691541798.82828,121490087244.04675,,,,,
2018-03-12,121459068296.24452,126352849035.85728,79066652580.45454,95314777635.14038,,,,,
2018-03-19,95426170451.43758,115317270353.56027,91921782493.21268,102687236913.91733,,,,,
2018-03-26,102857227159.86684,104922067084.45624,73969046086.64821,79905191083.78235,,,,,
2018-04-02,79888782533.1719,94040607857.38141,76324907489.18347,84201612643.19373,,,,,
2018-04-09,84080857111.87091,115394831037.60739,78786760993.12141,112127370702.25754,,,,,
2018-04-16,112086335905.65222,148204169675.95438,103169697945.31354,139359660112.8308,,,,,
2018-04-23,139044520143.46344,173938948424.12036,129867597246.25183,166257960420.98102,,,,,
2018-04-30,166281788226.6315,179745845947.24222,144909087717.50085,167937825263.8678,,,,,
2018-05-07,167821629358.4762,171747583237.58032,124799352147.05612,145973472395.33734,,,,,
2018-05-14,145849558840.319,151731228952.9286,122310977880.40228,137174614735.58324,,,,,
2018-05-21,137313284790.17305,139745875158.7873,106159840353.21432,112124417635.11197,,,,,
2018-05-28,113766711314.6116,134026976061.4786,100477808525.90393,129564330397.44785,,,,,
2018-06-04,130027648153.21994,133467999426.64307,100654018910.37311,105694568791.23187,,,,,
2018-06-11,105767648698.1908,110278314071.57343,88384775869.97427,96026587321.69585,,,,,
2018-06-18,96206575319.68616,103456499783.64171,75302012924.36264,83152848956.52548,,,,,
2018-06-25,83284603346.89462,88918162717.55002,73740905296.50372,84481078026.81,,,,,
2018-07-02,84285841093.63336,96107127887.32414,82101416604.02156,88245522845.94824,,,,,
2018-07-09,88217207108.9646,90804796226.73772,75445022110.64539,82786259287.28128,,,,,
2018-07-16,82717433076.9473,102146777715.38797,81610578236.09479,87096625933.74582,,,,,
2018-07-23,87102888346.81073,96259629185.37053,82775766439.45847,89703903706.3219,,,,,
2018-07-30,89666006624.18959,91097698821.53522,74526044725.68855,78431796083.99808,,,,,
2018-08-06,78461336921.13983,80863108922.38849,56688111093.566666,60240975566.513275,,,,,
2018-08-13,60281270368.40814,67963875841.21429,48462116996.09826,62818798232.2146,,,,,
2018-08-20,62821184556.64006,64894217954.96098,55888660090.51941,60751053196.62114,,,,,
2018-08-27,60786558530.837746,72846964015.56912,59818082775.78377,69893604731.15694,,,,,
2018-09-03,69818386185.74934,72293054932.7272,52509011678.59673,54926940930.89349,,,,,
2018-09-10,54951633827.457794,57782915158.95704,49217686310.20501,56122004611.08646,,,,,
2018-09-17,56172179290.141304,82038054046.93088,51410980232.48022,72718261158.15099,,,,,
2018-09-24,72728243002.77455,75442525457.30443,60912651405.02715,72471983557.8363,,,,,
2018-10-01,72453600317.01164,74423059657.2619,65627892287.88187,67921450664.27305,,,,,
