asset,response,lag_sessions,coefficient_per_flow_bps,se_hac,pvalue_hac,pointwise_ci_low,pointwise_ci_high,simultaneous_ci_low,simultaneous_ci_high,bootstrap_reps,block_length,design_condition_number,durbin_watson,jarque_bera_pvalue,breusch_pagan_pvalue,n,sample_start,sample_end,method,plot_key,panel,contract_name,category,era,mean_net_share_oi,median_net_share_oi,label
BTC,return,0,0.0080361516984973,0.0007287205736079,2.80787866094731e-28,0.0066078856194323,0.0094644177775623,0.0061774844714351,0.0098948189255594,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__BTC__lag0,etf_lags,,,,,,
BTC,return,1,-0.0025444637074966,0.0009751261389134,0.0090709426787795,-0.0044556758201504,-0.0006332515948427,-0.0052656266253715,0.0001766992103783,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__BTC__lag1,etf_lags,,,,,,
BTC,return,2,-8.13821246455423e-05,0.0011752583406034,0.944793682553635,-0.0023848461447586,0.0022220818954675,-0.0033130889451966,0.0031503246959055,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__BTC__lag2,etf_lags,,,,,,
BTC,return,3,-0.001049392359653,0.0009828353759226,0.285647122273237,-0.0029757142991933,0.0008769295798873,-0.0035042275200366,0.0014054428007305,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__BTC__lag3,etf_lags,,,,,,
BTC,return,4,0.0005731386939205,0.0009652874135996,0.552679826140124,-0.0013187898714645,0.0024650672593056,-0.0019751258276234,0.0031214032154644,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__BTC__lag4,etf_lags,,,,,,
BTC,return,5,-0.0003998574520504,0.0005993752570158,0.504693109061926,-0.0015746113690258,0.000774896464925,-0.0019797237178546,0.0011800088137537,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__BTC__lag5,etf_lags,,,,,,
ETH,return,0,0.0036399307372184,0.0007692527578998,2.22565364508944e-06,0.0021322230367265,0.0051476384377103,0.0013408233228019,0.0059390381516348,2000,10,6.39957842658556,2.22014159910757,3.2975952747599e-40,0.763186510291949,426,2024-07-30,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__ETH__lag0,etf_lags,,,,,,
ETH,return,1,-0.0004712960491256,0.0007891112890882,0.550341046674113,-0.0020179257555324,0.0010753336572812,-0.0027103331422902,0.001767741044039,2000,10,6.39957842658556,2.22014159910757,3.2975952747599e-40,0.763186510291949,426,2024-07-30,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__ETH__lag1,etf_lags,,,,,,
ETH,return,2,-0.0005979607968009,0.0007474496397383,0.423709956125154,-0.0020629351709455,0.0008670135773435,-0.002641735187925,0.0014458135943231,2000,10,6.39957842658556,2.22014159910757,3.2975952747599e-40,0.763186510291949,426,2024-07-30,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__ETH__lag2,etf_lags,,,,,,
ETH,return,3,-0.0002903348390211,0.0007764845434692,0.708471752156291,-0.0018122165787728,0.0012315469007305,-0.0025953460460844,0.0020146763680421,2000,10,6.39957842658556,2.22014159910757,3.2975952747599e-40,0.763186510291949,426,2024-07-30,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__ETH__lag3,etf_lags,,,,,,
ETH,return,4,0.0001264788029096,0.0008909348908991,0.887110106409793,-0.0016197214958227,0.001872679101642,-0.0023558569118889,0.0026088145177082,2000,10,6.39957842658556,2.22014159910757,3.2975952747599e-40,0.763186510291949,426,2024-07-30,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__ETH__lag4,etf_lags,,,,,,
ETH,return,5,-0.0005229300145469,0.0007000135609015,0.455046414364694,-0.0018949313826037,0.0008490713535097,-0.0025176800458278,0.0014718200167339,2000,10,6.39957842658556,2.22014159910757,3.2975952747599e-40,0.763186510291949,426,2024-07-30,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands,etf__ETH__lag5,etf_lags,,,,,,
BTC,,,,,,,,,,,,,,,,301,2018-04-10,2024-01-09,,cftc__BTC__pre_us_spot_etf,cftc_eras,CME Bitcoin,leveraged_money,pre_us_spot_etf,-0.274434837368657,-0.292125550660793,BTC | Pre-U.S. spot ETF
BTC,,,,,,,,,,,,,,,,129,2024-01-16,2026-06-30,,cftc__BTC__us_spot_etf_era,cftc_eras,CME Bitcoin,leveraged_money,us_spot_etf_era,-0.522590330724359,-0.533406031120245,BTC | U.S. spot ETF era
ETH,,,,,,,,,,,,,,,,172,2021-04-06,2024-07-16,,cftc__ETH__pre_us_spot_etf,cftc_eras,CME Ether,leveraged_money,pre_us_spot_etf,-0.268688344441031,-0.271055675771827,ETH | Pre-U.S. spot ETF
